,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,year_released,age,decades,day,month,markup,profitmargin,netprofit,genres,randomgenre
147,48,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,104386950,418186950,2010,10,1,Friday,12,1.6979803225806451,0.629352374577925,263186950,"['Adventure', 'Family', 'Fantasy']",Adventure
149,50,2018-03-23,Pacific Rim: Uprising,155000000,59874525,290930148,2018,2,0,Friday,3,0.8769686967741935,0.4672260641753773,135930148,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Science Fiction
151,52,2017-07-14,War for the Planet of the Apes,152000000,146880162,489592267,2017,3,0,Friday,7,2.221001756578948,0.6895375800533222,337592267,"['Drama', 'Science Fiction', 'War']",Science Fiction
154,55,2017-06-02,Wonder Woman,150000000,412563408,821133378,2017,3,0,Friday,6,4.47422252,0.8173256574159138,671133378,"['Action', 'Fantasy']",Action
155,56,2013-11-22,Frozen,150000000,400738009,1272469910,2013,7,0,Friday,11,7.483132733333332,0.8821190200088896,1122469910,['Thriller'],Thriller
156,57,2016-03-04,Zootopia,150000000,341268248,1019429616,2016,4,0,Friday,3,5.79619744,0.8528588951647643,869429616,"['Adventure', 'Animation', 'Comedy', 'Family']",Animation
161,62,2016-11-23,Moana,150000000,248757044,637517365,2016,4,0,Wednesday,11,3.2501157666666667,0.7647122914055839,487517365,['Documentary'],Documentary
165,66,2013-11-08,Thor: The Dark World,150000000,206362140,644602516,2013,7,0,Friday,11,3.297350106666667,0.7672984571471949,494602516,"['Action', 'Adventure', 'Fantasy']",Adventure
168,69,2017-07-21,Dunkirk,150000000,190068280,499837368,2017,3,0,Friday,7,2.33224912,0.6999023890506721,349837368,"['Action', 'Drama', 'War']",Action
169,70,2011-05-06,Thor,150000000,181030624,449326618,2011,9,0,Friday,5,1.9955107866666664,0.6661671176578281,299326618,"['Action', 'Adventure', 'Fantasy']",Adventure
173,74,2011-05-26,Kung Fu Panda 2,150000000,165249063,664837547,2011,9,0,Thursday,5,3.4322503133333333,0.7743809737027383,514837547,"['Animation', 'Family']",Family
174,75,2015-05-15,Mad Max: Fury Road,150000000,153636354,370098020,2015,5,0,Friday,5,1.4673201333333334,0.5947019657116782,220098020,"['Action', 'Adventure', 'Science Fiction']",Science Fiction
177,78,2018-03-29,Ready Player One,150000000,137690172,579290136,2018,2,0,Thursday,3,2.86193424,0.7410623957180587,429290136,"['Adventure', 'Science Fiction']",Adventure
182,83,2010-07-01,The Last Airbender,150000000,131772187,319713881,2010,10,1,Thursday,7,1.1314258733333329,0.5308305052916986,169713881,"['Action', 'Adventure', 'Family', 'Fantasy']",Family
186,87,2012-03-30,Wrath of the Titans,150000000,83670083,305270083,2012,8,0,Friday,3,1.0351338866666666,0.5086318366808319,155270083,"['Action', 'Adventure', 'Fantasy']",Adventure
188,89,2012-05-11,Dark Shadows,150000000,79727149,238202668,2012,8,0,Friday,5,0.5880177866666667,0.3702841313263544,88202668,"['Comedy', 'Fantasy']",Fantasy
189,90,2013-06-28,White House Down,150000000,73103784,205440387,2013,7,0,Friday,6,0.36960258,0.26986118849162805,55440387,"['Action', 'Drama', 'Thriller']",Drama
190,91,2010-02-12,The Wolfman,150000000,62189884,142634358,2010,10,1,Friday,2,-0.04910428,-0.05164002631119215,-7365642,['Horror'],Horror
191,92,2017-02-17,The Great Wall,150000000,45157105,334486852,2017,3,0,Friday,2,1.2299123466666666,0.5515518798329329,184486852,"['Action', 'Adventure', 'Fantasy']",Action
192,93,2015-10-09,Pan,150000000,35088320,151525973,2015,5,0,Friday,10,0.010173153333333334,0.010070702532297878,1525973,"['Adventure', 'Family', 'Fantasy']",Fantasy
193,94,2011-03-11,Mars Needs Moms,150000000,21392758,39549758,2011,9,0,Friday,3,-0.7363349466666667,-2.792690716337632,-110450242,"['Adventure', 'Animation', 'Family']",Adventure
196,97,2012-06-08,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271,2012,8,0,Friday,6,4.1511811793103455,0.8058697674978921,601921271,"['Animation', 'Comedy', 'Family']",Family
