,movie,imdb_rating,meta_score,runtime,gross,n_imdb
209, Prometheus ,7.0,64.0,124,126.48,70.0
210, Safe House ,6.7,52.0,115,126.37,67.0
211, Lone Survivor ,7.5,60.0,121,125.1,75.0
212, Sully ,7.4,74.0,96,125.07,74.0
213, The Vow ,6.8,43.0,104,125.01,68.0
214, Life of Pi ,7.9,79.0,127,124.99,79.0
215, The Fault in Our Stars ,7.7,69.0,126,124.87,77.0
216, Rango ,7.2,75.0,107,123.48,72.0
217, The Good Dinosaur ,6.7,66.0,93,123.09,67.0
218, G,5.8,41.0,110,122.52,58.0
219, Mamma Mia! Here We Go Again Sing-A-long ,6.7,60.0,114,120.63,67.0
220, Cloudy with a Chance of Meatballs 2 ,6.4,59.0,95,119.79,64.0
221, The Other Guys ,6.6,64.0,107,119.22,66.0
222, Salt ,6.4,65.0,100,118.31,64.0
223, Now You See Me ,7.3,50.0,115,117.72,73.0
224, Horrible Bosses ,6.9,57.0,98,117.54,69.0
225, The Nun ,5.3,46.0,96,117.45,53.0
226, Jackass 3D ,7.0,56.0,95,117.22,70.0
227, The Wolf of Wall Street ,8.2,75.0,180,116.9,82.0
228, The Butler ,7.2,65.0,132,116.63,72.0
229, Green Lantern ,5.5,39.0,114,116.6,55.0
230, Creed 2 ,7.1,66.0,130,115.72,71.0
231, Unbroken ,7.2,59.0,137,115.64,72.0
232, Peter Rabbit ,6.6,51.0,95,115.25,66.0
233, Girls Trip ,6.2,71.0,122,115.17,62.0
234, Fifty Shades Darker ,4.6,33.0,118,114.38,46.0
235, Night at the Museum: Secret of the Tomb ,6.2,47.0,98,113.75,62.0
236, Magic Mike ,6.1,72.0,110,113.72,61.0
237, Bad Moms ,6.2,60.0,100,113.26,62.0
238, The Bourne Legacy ,6.7,61.0,135,113.2,67.0
239, The Hangover Part III ,5.8,30.0,100,112.2,58.0
240, Mr,6.8,59.0,92,111.51,68.0
241, Spy ,7.0,75.0,120,110.83,70.0
242, Valentine's Day ,5.7,34.0,125,110.49,57.0
243, Trainwreck ,6.2,75.0,125,110.21,62.0
244, Creed ,7.6,82.0,133,109.77,76.0
245, The Upside ,6.9,46.0,126,108.25,69.0
246, Hop ,5.4,41.0,95,108.09,54.0
247, Baby Driver ,7.6,86.0,113,107.83,76.0
248, Epic ,6.7,52.0,102,107.52,67.0
249, Angry Birds ,6.3,43.0,97,107.51,63.0
